code,term,dmd_id,dmd_type,bnf_code
4559111000001109,Risperidone 25mg powder and solvent for suspension for injection vials,4559111000001109,VMP,0402020AAAAAAAA
4177011000001109,Risperidone 50mg powder and solvent for suspension for injection vials,4177011000001109,VMP,0402020AAAAABAB
4176911000001105,Risperidone 37.5mg powder and solvent for suspension for injection vials,4176911000001105,VMP,0402020AAAAACAC
4520711000001102,Risperdal Consta 25mg powder and solvent for suspension for injection vials,4520711000001102,AMP,0402020AABBAAAA
4167011000001101,Risperdal Consta 50mg powder and solvent for suspension for injection vials,4167011000001101,AMP,0402020AABBABAB
4166711000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials,4166711000001102,AMP,0402020AABBACAC
19223711000001101,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,19223711000001101,VMP,0402020ABAAAAAA
19223811000001109,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,19223811000001109,VMP,0402020ABAAABAB
19223511000001106,Paliperidone 100mg/1ml suspension for injection pre-filled syringes,19223511000001106,VMP,0402020ABAAACAC
19223611000001105,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,19223611000001105,VMP,0402020ABAAADAD
21199511000001108,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes and Paliperidone 100mg/1ml suspension for injection pre-filled syringes,21199511000001108,VMP,0402020ABAAAEAE
32878911000001109,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,32878911000001109,VMP,0402020ABAAAFAF
32879011000001100,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,32879011000001100,VMP,0402020ABAAAGAG
32879111000001104,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,32879111000001104,VMP,0402020ABAAAHAH
32879211000001105,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,32879211000001105,VMP,0402020ABAAAIAI
19208911000001101,Xeplion 50mg/0.5ml suspension for injection pre-filled syringes,19208911000001101,AMP,0402020ABBBAAAA
19210011000001104,Xeplion 75mg/0.75ml suspension for injection pre-filled syringes,19210011000001104,AMP,0402020ABBBABAB
19210611000001106,Xeplion 100mg/1ml suspension for injection pre-filled syringes,19210611000001106,AMP,0402020ABBBACAC
19210911000001100,Xeplion 150mg/1.5ml suspension for injection pre-filled syringes,19210911000001100,AMP,0402020ABBBADAD
21198611000001103,Xeplion 150mg/1.5ml and 100mg/1ml suspension for injection treatment initiation pack,21198611000001103,AMP,0402020ABBBAEAE
32866911000001100,Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,32866911000001100,AMP,0402020ABBCAAAF
32867811000001107,Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,32867811000001107,AMP,0402020ABBCABAG
32868111000001104,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,32868111000001104,AMP,0402020ABBCACAH
32868411000001109,Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,32868411000001109,AMP,0402020ABBCADAI
17037611000001102,Olanzapine embonate 210mg powder and solvent for suspension for injection vials,17037611000001102,VMP,0402020ACAAAAAA
17038211000001100,Olanzapine embonate 300mg powder and solvent for suspension for injection vials,17038211000001100,VMP,0402020ACAAABAB
17038711000001107,Olanzapine embonate 405mg powder and solvent for suspension for injection vials,17038711000001107,VMP,0402020ACAAACAC
17037811000001103,Zypadhera 210mg powder and solvent for suspension for injection vials,17037811000001103,AMP,0402020ACBBAAAA
17038411000001101,Zypadhera 300mg powder and solvent for suspension for injection vials,17038411000001101,AMP,0402020ACBBABAB
17039011000001100,Zypadhera 405mg powder and solvent for suspension for injection vials,17039011000001100,AMP,0402020ACBBACAC
23661211000001102,Aripiprazole 400mg powder and solvent for suspension for injection vials,23661211000001102,VMP,0402020ADAAAAAA
31087211000001107,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,31087211000001107,VMP,0402020ADAAABAB
23636811000001103,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials,23636811000001103,AMP,0402020ADBBAAAA
31078011000001108,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,31078011000001108,AMP,0402020ADBBABAB
36068811000001106,Flupentixol 20mg/1ml solution for injection ampoules,36068811000001106,VMP,0402020G0AAAAAA
33643111000001103,Flupentixol 20mg/1ml solution for injection ampoules,33643111000001103,AMP,0402020G0AAAAAA
36068611000001107,Flupentixol 100mg/1ml solution for injection ampoules,36068611000001107,VMP,0402020G0AAABAB
36068911000001101,Flupentixol 40mg/2ml solution for injection ampoules,36068911000001101,VMP,0402020G0AAACAC
33643311000001101,Flupentixol 40mg/2ml solution for injection ampoules,33643311000001101,AMP,0402020G0AAACAC
36058011000001108,Flupentixol 50mg/0.5ml solution for injection ampoules,36058011000001108,VMP,0402020G0AAAHAH
33643511000001107,Flupentixol 50mg/0.5ml solution for injection ampoules,33643511000001107,AMP,0402020G0AAAHAH
36068711000001103,Flupentixol 200mg/1ml solution for injection ampoules,36068711000001103,VMP,0402020G0AAAIAI
3102911000001100,Depixol 20mg/1ml solution for injection ampoules,3102911000001100,AMP,0402020G0BBAAAA
3102111000001103,Depixol 40mg/2ml solution for injection ampoules,3102111000001103,AMP,0402020G0BBABAC
3101311000001105,Depixol Conc 100mg/1ml solution for injection ampoules,3101311000001105,AMP,0402020G0BBADAB
3100711000001101,Depixol Conc 50mg/0.5ml solution for injection ampoules,3100711000001101,AMP,0402020G0BBAFAH
3104011000001105,Depixol Low Volume 200mg/1ml solution for injection ampoules,3104011000001105,AMP,0402020G0BBAGAI
9488311000001103,Psytixol 20mg/1ml solution for injection ampoules,9488311000001103,AMP,0402020G0BCAAAA
9489211000001101,Psytixol 40mg/2ml solution for injection ampoules,9489211000001101,AMP,0402020G0BCABAC
9490711000001100,Psytixol 50mg/0.5ml solution for injection ampoules,9490711000001100,AMP,0402020G0BCACAH
9494211000001104,Psytixol 100mg/1ml solution for injection ampoules,9494211000001104,AMP,0402020G0BCADAB
9494511000001101,Psytixol 200mg/1ml solution for injection ampoules,9494511000001101,AMP,0402020G0BCAEAI
36058211000001103,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules,36058211000001103,VMP,0402020L0AAAAAA
