code,term,dmd_id,dmd_type,bnf_code
12626211000001108,Formoterol 12microgram inhalation powder capsules with device,12626211000001108,VMP,0301011E0AAAAAA
39112911000001101,Formoterol 6micrograms/dose dry powder inhaler,39112911000001101,VMP,0301011E0AAABAB
39113011000001109,Formoterol 12micrograms/dose dry powder inhaler,39113011000001109,VMP,0301011E0AAACAC
9652711000001107,Formoterol 12micrograms/dose inhaler CFC free,9652711000001107,VMP,0301011E0AAADAD
3206811000001109,Foradil 12microgram inhalation powder capsules with device,3206811000001109,AMP,0301011E0BBAAAA
3243511000001107,Oxis 6 Turbohaler,3243511000001107,AMP,0301011E0BCAAAB
3245011000001103,Oxis 12 Turbohaler,3245011000001103,AMP,0301011E0BCABAC
9628711000001106,Atimos Modulite 12micrograms/dose inhaler,9628711000001106,AMP,0301011E0BDAAAD
11176411000001106,Formoterol Easyhaler 12micrograms/dose dry powder inhaler,11176411000001106,AMP,0301011E0BEAAAC
35937811000001108,Salmeterol 50microgram inhalation powder blisters with device,35937811000001108,VMP,0301011U0AAAAAA
35938011000001101,Salmeterol 50microgram inhalation powder blisters,35938011000001101,VMP,0301011U0AAABAB
39110811000001105,Salmeterol 25micrograms/dose inhaler,39110811000001105,VMP,0301011U0AAACAC
39113211000001104,Salmeterol 50micrograms/dose dry powder inhaler,39113211000001104,VMP,0301011U0AAAEAE
10075611000001101,Salmeterol 25micrograms/dose inhaler CFC free,10075611000001101,VMP,0301011U0AAAHAH
3084011000001103,Serevent 50microgram disks with Diskhaler,3084011000001103,AMP,0301011U0BBAAAA
3082411000001100,Serevent 50microgram disks,3082411000001100,AMP,0301011U0BBABAB
408911000001105,Serevent 25micrograms/dose inhaler,408911000001105,AMP,0301011U0BBACAC
3380111000001107,Serevent 50micrograms/dose Accuhaler,3380111000001107,AMP,0301011U0BBAEAE
10073011000001107,Serevent 25micrograms/dose Evohaler,10073011000001107,AMP,0301011U0BBAFAH
19562111000001107,Neovent 25micrograms/dose inhaler CFC free,19562111000001107,AMP,0301011U0BDAAAH
19568411000001100,Neovent 25micrograms/dose inhaler CFC free,19568411000001100,AMP,0301011U0BEAAAH
22650111000001100,Vertine 25micrograms/dose inhaler CFC free,22650111000001100,AMP,0301011U0BFAAAH
33561211000001109,Soltel 25micrograms/dose inhaler CFC free,33561211000001109,AMP,0301011U0BGAAAH
39113111000001105,Terbutaline 250micrograms/dose inhaler,39113111000001105,VMP,0301011V0AAAAAA
35916311000001106,Terbutaline 500micrograms/dose dry powder inhaler,35916311000001106,VMP,0301011V0AABBBB
3248011000001106,Bricanyl 250micrograms/dose inhaler,3248011000001106,AMP,0301011V0BBADAA
3218311000001103,Bricanyl 500micrograms/dose Turbohaler,3218311000001103,AMP,0301011V0BBARBB
17313711000001107,Indacaterol 150microgram inhalation powder capsules with device,17313711000001107,VMP,0301011X0AAAAAA
17313811000001104,Indacaterol 300microgram inhalation powder capsules with device,17313811000001104,VMP,0301011X0AAABAB
17300811000001109,Onbrez Breezhaler 150microgram inhalation powder capsules with device,17300811000001109,AMP,0301011X0BBAAAA
17299911000001102,Onbrez Breezhaler 300microgram inhalation powder capsules with device,17299911000001102,AMP,0301011X0BBABAB
36049311000001103,Ipratropium bromide 20micrograms/dose inhaler,36049311000001103,VMP,0301020I0AAAAAA
38894511000001107,Ipratropium bromide 20micrograms/dose inhaler CFC free,38894511000001107,VMP,0301020I0AAANAN
27872911000001109,Ipratropium bromide 20micrograms/dose inhaler CFC free,27872911000001109,AMP,0301020I0AAANAN
24011000001103,Atrovent 20micrograms/dose inhaler,24011000001103,AMP,0301020I0BBAAAA
347611000001103,Atrovent Forte 40micrograms/dose inhaler,347611000001103,AMP,0301020I0BBADAD
