code,term,dmd_id,dmd_type,uom
12626211000001108,Formoterol 12microgram inhalation powder capsules with device,12626211000001108,VMP,capsule
39112911000001101,Formoterol 6micrograms/dose dry powder inhaler,39112911000001101,VMP,dose
39113011000001109,Formoterol 12micrograms/dose dry powder inhaler,39113011000001109,VMP,dose
9652711000001107,Formoterol 12micrograms/dose inhaler CFC free,9652711000001107,VMP,dose
3206811000001109,Foradil 12microgram inhalation powder capsules with device,3206811000001109,AMP,capsule
3243511000001107,Oxis 6 Turbohaler,3243511000001107,AMP,dose
3245011000001103,Oxis 12 Turbohaler,3245011000001103,AMP,dose
9628711000001106,Atimos Modulite 12micrograms/dose inhaler,9628711000001106,AMP,dose
11176411000001106,Formoterol Easyhaler 12micrograms/dose dry powder inhaler,11176411000001106,AMP,dose
35937811000001108,Salmeterol 50microgram inhalation powder blisters with device,35937811000001108,VMP,actuation
35938011000001101,Salmeterol 50microgram inhalation powder blisters,35938011000001101,VMP,actuation
39110811000001105,Salmeterol 25micrograms/dose inhaler,39110811000001105,VMP,dose
39113211000001104,Salmeterol 50micrograms/dose dry powder inhaler,39113211000001104,VMP,dose
10075611000001101,Salmeterol 25micrograms/dose inhaler CFC free,10075611000001101,VMP,dose
3084011000001103,Serevent 50microgram disks with Diskhaler,3084011000001103,AMP,actuation
3082411000001100,Serevent 50microgram disks,3082411000001100,AMP,actuation
408911000001105,Serevent 25micrograms/dose inhaler,408911000001105,AMP,dose
3380111000001107,Serevent 50micrograms/dose Accuhaler,3380111000001107,AMP,dose
10073011000001107,Serevent 25micrograms/dose Evohaler,10073011000001107,AMP,dose
19562111000001107,Neovent 25micrograms/dose inhaler CFC free,19562111000001107,AMP,dose
19568411000001100,Neovent 25micrograms/dose inhaler CFC free,19568411000001100,AMP,dose
22650111000001100,Vertine 25micrograms/dose inhaler CFC free,22650111000001100,AMP,dose
33561211000001109,Soltel 25micrograms/dose inhaler CFC free,33561211000001109,AMP,dose
39113111000001105,Terbutaline 250micrograms/dose inhaler,39113111000001105,VMP,dose
35916311000001106,Terbutaline 500micrograms/dose dry powder inhaler,35916311000001106,VMP,dose
3248011000001106,Bricanyl 250micrograms/dose inhaler,3248011000001106,AMP,dose
3218311000001103,Bricanyl 500micrograms/dose Turbohaler,3218311000001103,AMP,dose
17313711000001107,Indacaterol 150microgram inhalation powder capsules with device,17313711000001107,VMP,capsule
17313811000001104,Indacaterol 300microgram inhalation powder capsules with device,17313811000001104,VMP,capsule
17300811000001109,Onbrez Breezhaler 150microgram inhalation powder capsules with device,17300811000001109,AMP,capsule
17299911000001102,Onbrez Breezhaler 300microgram inhalation powder capsules with device,17299911000001102,AMP,capsule
36049311000001103,Ipratropium bromide 20micrograms/dose inhaler,36049311000001103,VMP,dose
38894511000001107,Ipratropium bromide 20micrograms/dose inhaler CFC free,38894511000001107,VMP,dose
27872911000001109,Ipratropium bromide 20micrograms/dose inhaler CFC free,27872911000001109,AMP,dose
24011000001103,Atrovent 20micrograms/dose inhaler,24011000001103,AMP,dose
347611000001103,Atrovent Forte 40micrograms/dose inhaler,347611000001103,AMP,dose
351411000001106,Atrovent 20micrograms/dose Autohaler,351411000001106,AMP,dose
7389911000001105,Atrovent 20micrograms/dose inhaler CFC free,7389911000001105,AMP,dose
34954811000001109,Inhalvent 20micrograms/dose inhaler,34954811000001109,AMP,dose
37842911000001109,Ipravent 20micrograms/dose inhaler CFC free,37842911000001109,AMP,dose
2944211000001101,Oxivent 100micrograms/dose inhaler,2944211000001101,AMP,dose
9479011000001103,Tiotropium bromide 18microgram inhalation powder capsules with device,9479011000001103,VMP,capsule
9478911000001107,Tiotropium bromide 18microgram inhalation powder capsules,9478911000001107,VMP,capsule
33596311000001107,Tiotropium bromide 10microgram inhalation powder capsules with device,33596311000001107,VMP,capsule
3378211000001106,Spiriva 18microgram inhalation powder capsules with HandiHaler,3378211000001106,AMP,capsule
3380011000001106,Spiriva 18microgram inhalation powder capsules,3380011000001106,AMP,capsule
33594911000001100,Braltus 10microgram inhalation powder capsules with Zonda inhaler,33594911000001100,AMP,capsule
38893611000001108,Aclidinium bromide 375micrograms/dose dry powder inhaler,38893611000001108,VMP,dose
20985511000001101,Eklira 322micrograms/dose Genuair,20985511000001101,AMP,dose
21496211000001102,Glycopyrronium bromide 55microgram inhalation powder capsules with device,21496211000001102,VMP,capsule
21495411000001107,Seebri Breezhaler 44microgram inhalation powder capsules with device,21495411000001107,AMP,capsule
27890611000001109,Umeclidinium bromide 65micrograms/dose dry powder inhaler,27890611000001109,VMP,dose
27567911000001101,Incruse Ellipta 55micrograms/dose dry powder inhaler,27567911000001101,AMP,dose
2923111000001107,Duovent inhaler,2923111000001107,AMP,dose
28410811000001107,Berodual N inhaler,28410811000001107,AMP,dose
35936311000001102,Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler,35936311000001102,VMP,dose
3348611000001107,Combivent inhaler,3348611000001107,AMP,dose
28365011000001100,Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler,28365011000001100,VMP,dose
28357211000001106,Duaklir 340micrograms/dose / 12micrograms/dose Genuair,28357211000001106,AMP,dose
24645511000001105,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler,24645511000001105,VMP,dose
32364511000001104,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler,32364511000001104,AMP,dose
32629811000001101,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler,32629811000001101,AMP,dose
24644611000001108,Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler,24644611000001108,AMP,dose
28049611000001104,Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device,28049611000001104,VMP,capsule
28007211000001102,Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device,28007211000001102,AMP,capsule
35909511000001107,Beclometasone 50micrograms/dose inhaler,35909511000001107,VMP,dose
3175711000001102,Beclometasone 50micrograms/dose inhaler,3175711000001102,AMP,dose
3177111000001107,Beclometasone 50micrograms/dose inhaler,3177111000001107,AMP,dose
11400011000001108,Beclometasone 50micrograms/dose inhaler,11400011000001108,AMP,dose
3176711000001105,Beclometasone 50micrograms/dose inhaler,3176711000001105,AMP,dose
17793411000001101,Beclometasone 50micrograms/dose inhaler,17793411000001101,AMP,dose
4773611000001100,Beclometasone 50micrograms/dose inhaler,4773611000001100,AMP,dose
3175911000001100,Beclometasone 50micrograms/dose inhaler,3175911000001100,AMP,dose
42292311000001106,Beclometasone 100micrograms/dose inhaler,42292311000001106,VMP,dose
3178211000001102,Beclometasone 100micrograms/dose inhaler,3178211000001102,AMP,dose
3179011000001102,Beclometasone 100micrograms/dose inhaler,3179011000001102,AMP,dose
11400511000001100,Beclometasone 100micrograms/dose inhaler,11400511000001100,AMP,dose
7379111000001102,Beclometasone 100micrograms/dose inhaler,7379111000001102,AMP,dose
17794111000001108,Beclometasone 100micrograms/dose inhaler,17794111000001108,AMP,dose
4773811000001101,Beclometasone 100micrograms/dose inhaler,4773811000001101,AMP,dose
3178411000001103,Beclometasone 100micrograms/dose inhaler,3178411000001103,AMP,dose
35908811000001103,Beclometasone 250micrograms/dose inhaler,35908811000001103,VMP,dose
3179811000001108,Beclometasone 250micrograms/dose inhaler,3179811000001108,AMP,dose
3180911000001103,Beclometasone 250micrograms/dose inhaler,3180911000001103,AMP,dose
11400811000001102,Beclometasone 250micrograms/dose inhaler,11400811000001102,AMP,dose
7379311000001100,Beclometasone 250micrograms/dose inhaler,7379311000001100,AMP,dose
17833911000001100,Beclometasone 250micrograms/dose inhaler,17833911000001100,AMP,dose
4774011000001109,Beclometasone 250micrograms/dose inhaler,4774011000001109,AMP,dose
