code,term,dmd_id,dmd_type,uom
13831511000001104,Atorvastatin 20mg tablets (DE Pharmaceuticals) (AMP),13831511000001104,AMP,tablet
13923011000001100,Lipitor 20mg tablets (DE Pharmaceuticals) (AMP),13923011000001100,AMP,tablet
14198211000001106,Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc) (AMP),14198211000001106,AMP,tablet
14309911000001100,Lipitor 20mg tablets (Sigma Pharmaceuticals Plc) (AMP),14309911000001100,AMP,tablet
16506711000001100,Lipitor 20mg tablets (Mawdsley-Brooks & Company Ltd) (AMP),16506711000001100,AMP,tablet
18493111000001109,Lipitor 20mg tablets (Necessity Supplies Ltd) (AMP),18493111000001109,AMP,tablet
20448411000001102,Atorvastatin 20mg tablets (Dexcel-Pharma Ltd) (AMP),20448411000001102,AMP,tablet
20482911000001102,Atorvastatin 20mg tablets (Accord-UK Ltd) (AMP),20482911000001102,AMP,tablet
20491911000001107,Atorvastatin 20mg tablets (A A H Pharmaceuticals Ltd) (AMP),20491911000001107,AMP,tablet
20494411000001102,Atorvastatin 20mg tablets (Teva UK Ltd) (AMP),20494411000001102,AMP,tablet
20496611000001108,Atorvastatin 20mg tablets (Aspire Pharma Ltd) (AMP),20496611000001108,AMP,tablet
20508111000001109,Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP),20508111000001109,AMP,tablet
20529611000001101,Atorvastatin 20mg tablets (Krka UK Ltd) (AMP),20529611000001101,AMP,tablet
20569511000001105,Atorvastatin 20mg tablets (Arrow Generics Ltd) (AMP),20569511000001105,AMP,tablet
20572711000001103,Atorvastatin 20mg tablets (Wockhardt UK Ltd) (AMP),20572711000001103,AMP,tablet
20577211000001108,Atorvastatin 20mg tablets (Zentiva Pharma UK Ltd) (AMP),20577211000001108,AMP,tablet
20978111000001109,Atorvastatin 20mg tablets (Upjohn UK Ltd) (AMP),20978111000001109,AMP,tablet
20982411000001108,Atorvastatin 20mg tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP),20982411000001108,AMP,tablet
21779411000001106,Atorvastatin 20mg tablets (Waymade Healthcare Plc) (AMP),21779411000001106,AMP,tablet
22047511000001102,Atorvastatin 20mg tablets (Almus Pharmaceuticals Ltd) (AMP),22047511000001102,AMP,tablet
22201711000001103,Atorvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd) (AMP),22201711000001103,AMP,tablet
22613011000001104,Atorvastatin 20mg tablets (DE Pharmaceuticals) (AMP),22613011000001104,AMP,tablet
22940911000001103,Atorvastatin 20mg tablets (Sun Pharma UK Ltd) (AMP),22940911000001103,AMP,tablet
232011000001102,Lipitor 20mg tablets (Viatris UK Healthcare Ltd) (AMP),232011000001102,AMP,tablet
29772111000001104,Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc) (AMP),29772111000001104,AMP,tablet
32394811000001103,Atorvastatin 20mg tablets (Kent Pharma (UK) Ltd) (AMP),32394811000001103,AMP,tablet
33556611000001108,Atorvastatin 20mg tablets (Viatris UK Healthcare Ltd) (AMP),33556611000001108,AMP,tablet
34961811000001104,Atorvastatin 20mg tablets (Bristol Laboratories Ltd) (AMP),34961811000001104,AMP,tablet
35136211000001107,Atorvastatin 20mg tablets (Milpharm Ltd) (AMP),35136211000001107,AMP,tablet
36491411000001105,Atorvastatin 20mg tablets (Medical Valley Invest AB) (AMP),36491411000001105,AMP,tablet
36954411000001103,Atorvastatin 20mg tablets (Flamingo Pharma (UK) Ltd) (AMP),36954411000001103,AMP,tablet
37037611000001100,Atorvastatin 20mg tablets (Mawdsley-Brooks & Company Ltd) (AMP),37037611000001100,AMP,tablet
37569711000001105,Atorvastatin 20mg tablets (NorthStar Healthcare Unlimited Company) (AMP),37569711000001105,AMP,tablet
38800211000001104,Atorvastatin 20mg tablets (Medihealth (Northern) Ltd) (AMP),38800211000001104,AMP,tablet
39733011000001106,Atorvastatin 20mg tablets (VMP),39733011000001106,VMP,tablet
40679211000001105,Atorvastatin 20mg tablets (Torrent Pharma (UK) Ltd) (AMP),40679211000001105,AMP,tablet
41139211000001103,Atorvastatin 20mg tablets (Amarox Ltd) (AMP),41139211000001103,AMP,tablet
41498411000001100,Atorvastatin 20mg tablets (JCSH Pharma Ltd) (AMP),41498411000001100,AMP,tablet
41547511000001101,Atorvastatin 20mg tablets (Brown & Burk UK Ltd) (AMP),41547511000001101,AMP,tablet
41958211000001105,Atorvastatin 20mg tablets (MSN Laboratories Europe Ltd) (AMP),41958211000001105,AMP,tablet
42302911000001100,Atorvastatin 20mg tablets (Medreich Plc) (AMP),42302911000001100,AMP,tablet
42616311000001108,Atorvastatin 20mg tablets (AAH Hillcross) (AMP),42616311000001108,AMP,tablet
42706411000001108,Atorvastatin 20mg tablets (Rudipharm Ltd) (AMP),42706411000001108,AMP,tablet
42849311000001102,Atorvastatin 20mg tablets (Sandoz Ltd) (AMP),42849311000001102,AMP,tablet
46007211000001109,Atorvastatin 20mg tablets (Crescent Pharma Ltd) (AMP),46007211000001109,AMP,tablet
5337711000001107,Atorvastatin 20mg tablets (Waymade Healthcare Plc) (AMP),5337711000001107,AMP,tablet
5382011000001100,Lipitor 20mg tablets (Waymade Healthcare Plc) (AMP),5382011000001100,AMP,tablet
5451011000001107,Atorvastatin 20mg tablets (Dowelhurst Ltd) (AMP),5451011000001107,AMP,tablet
5524311000001104,Lipitor 20mg tablets (Dowelhurst Ltd) (AMP),5524311000001104,AMP,tablet
