code,term,dmd_id,dmd_type,uom
10408011000001100,Flucloxacillin 500mg capsules (Arrow Generics Ltd) (AMP),10408011000001100,AMP,capsule
15087511000001106,Flucloxacillin 500mg capsules (Sigma Pharmaceuticals Plc) (AMP),15087511000001106,AMP,capsule
16050911000001107,Flucloxacillin 500mg capsules (Bristol Laboratories Ltd) (AMP),16050911000001107,AMP,capsule
17908811000001104,Flucloxacillin 500mg capsules (Phoenix Healthcare Distribution Ltd) (AMP),17908811000001104,AMP,capsule
19193211000001102,Flucloxacillin 500mg capsules (Milpharm Ltd) (AMP),19193211000001102,AMP,capsule
19729111000001105,Flucloxacillin 500mg capsules (Medreich Plc) (AMP),19729111000001105,AMP,capsule
21997211000001102,Flucloxacillin 500mg capsules (Waymade Healthcare Plc) (AMP),21997211000001102,AMP,capsule
23908511000001109,Flucloxacillin 500mg capsules (DE Pharmaceuticals) (AMP),23908511000001109,AMP,capsule
289411000001107,Flucloxacillin 500mg capsules (A A H Pharmaceuticals Ltd) (AMP),289411000001107,AMP,capsule
30131011000001101,Flucloxacillin 500mg capsules (Mawdsley-Brooks & Company Ltd) (AMP),30131011000001101,AMP,capsule
3111000001109,Flucloxacillin 500mg capsules (Accord-UK Ltd) (AMP),3111000001109,AMP,capsule
32611000001100,Flucloxacillin 500mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP),32611000001100,AMP,capsule
36738011000001105,Flucloxacillin 500mg capsules (Noumed Life Sciences Ltd) (AMP),36738011000001105,AMP,capsule
38915211000001104,Flucloxacillin 500mg capsules (Medihealth (Northern) Ltd) (AMP),38915211000001104,AMP,capsule
39692211000001107,Flucloxacillin 500mg capsules (VMP),39692211000001107,VMP,capsule
401911000001101,Flucloxacillin 500mg capsules (Viatris UK Healthcare Ltd) (AMP),401911000001101,AMP,capsule
41885211000001104,Flucloxacillin 500mg capsules (Brown & Burk UK Ltd) (AMP),41885211000001104,AMP,capsule
42544011000001102,Flucloxacillin 500mg capsules (Flamingo Pharma (UK) Ltd) (AMP),42544011000001102,AMP,capsule
43990411000001108,Flucloxacillin 500mg capsules (Crescent Pharma Ltd) (AMP),43990411000001108,AMP,capsule
45167611000001101,Flucloxacillin 500mg capsules (Rudipharm Ltd) (AMP),45167611000001101,AMP,capsule
499611000001105,Fluclomix 500 capsules (Ashbourne Pharmaceuticals Ltd) (AMP),499611000001105,AMP,capsule
568111000001102,Flucloxacillin 500mg capsules (IVAX Pharmaceuticals UK Ltd) (AMP),568111000001102,AMP,capsule
590311000001104,Flucloxacillin 500mg capsules (Kent Pharma (UK) Ltd) (AMP),590311000001104,AMP,capsule
629811000001103,Flucloxacillin 500mg capsules (Sun Pharma UK Ltd) (AMP),629811000001103,AMP,capsule
703911000001109,Ladropen 500mg capsules (Teva UK Ltd) (AMP),703911000001109,AMP,capsule
770011000001107,Flucloxacillin 500mg capsules (Sandoz Ltd) (AMP),770011000001107,AMP,capsule
833311000001104,Flucloxacillin 500mg capsules (Teva UK Ltd) (AMP),833311000001104,AMP,capsule
888011000001100,Floxapen 500mg capsules (Actavis UK Ltd) (AMP),888011000001100,AMP,capsule
9798911000001106,Flucloxacillin 500mg capsules (Almus Pharmaceuticals Ltd) (AMP),9798911000001106,AMP,capsule
