code,term,dmd_id,dmd_type,uom
4559111000001109,Risperidone 25mg powder and solvent for suspension for injection vials,4559111000001109,VMP,vial
4177011000001109,Risperidone 50mg powder and solvent for suspension for injection vials,4177011000001109,VMP,vial
4176911000001105,Risperidone 37.5mg powder and solvent for suspension for injection vials,4176911000001105,VMP,vial
4520711000001102,Risperdal Consta 25mg powder and solvent for suspension for injection vials,4520711000001102,AMP,vial
4167011000001101,Risperdal Consta 50mg powder and solvent for suspension for injection vials,4167011000001101,AMP,vial
4166711000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials,4166711000001102,AMP,vial
19223711000001101,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,19223711000001101,VMP,ml
19223811000001109,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,19223811000001109,VMP,ml
19223511000001106,Paliperidone 100mg/1ml suspension for injection pre-filled syringes,19223511000001106,VMP,ml
19223611000001105,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,19223611000001105,VMP,ml
21199511000001108,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes and Paliperidone 100mg/1ml suspension for injection pre-filled syringes,21199511000001108,VMP,NA
32878911000001109,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,32878911000001109,VMP,ml
32879011000001100,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,32879011000001100,VMP,ml
32879111000001104,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,32879111000001104,VMP,ml
32879211000001105,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,32879211000001105,VMP,ml
19208911000001101,Xeplion 50mg/0.5ml suspension for injection pre-filled syringes,19208911000001101,AMP,ml
19210011000001104,Xeplion 75mg/0.75ml suspension for injection pre-filled syringes,19210011000001104,AMP,ml
19210611000001106,Xeplion 100mg/1ml suspension for injection pre-filled syringes,19210611000001106,AMP,ml
19210911000001100,Xeplion 150mg/1.5ml suspension for injection pre-filled syringes,19210911000001100,AMP,ml
21198611000001103,Xeplion 150mg/1.5ml and 100mg/1ml suspension for injection treatment initiation pack,21198611000001103,AMP,NA
32866911000001100,Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,32866911000001100,AMP,ml
32867811000001107,Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,32867811000001107,AMP,ml
32868111000001104,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,32868111000001104,AMP,ml
32868411000001109,Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,32868411000001109,AMP,ml
17037611000001102,Olanzapine embonate 210mg powder and solvent for suspension for injection vials,17037611000001102,VMP,vial
17038211000001100,Olanzapine embonate 300mg powder and solvent for suspension for injection vials,17038211000001100,VMP,vial
17038711000001107,Olanzapine embonate 405mg powder and solvent for suspension for injection vials,17038711000001107,VMP,vial
17037811000001103,Zypadhera 210mg powder and solvent for suspension for injection vials,17037811000001103,AMP,vial
17038411000001101,Zypadhera 300mg powder and solvent for suspension for injection vials,17038411000001101,AMP,vial
17039011000001100,Zypadhera 405mg powder and solvent for suspension for injection vials,17039011000001100,AMP,vial
23661211000001102,Aripiprazole 400mg powder and solvent for suspension for injection vials,23661211000001102,VMP,vial
31087211000001107,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,31087211000001107,VMP,pre-filled disposable injection
23636811000001103,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials,23636811000001103,AMP,vial
31078011000001108,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,31078011000001108,AMP,pre-filled disposable injection
36068811000001106,Flupentixol 20mg/1ml solution for injection ampoules,36068811000001106,VMP,ml
33643111000001103,Flupentixol 20mg/1ml solution for injection ampoules,33643111000001103,AMP,ml
36068611000001107,Flupentixol 100mg/1ml solution for injection ampoules,36068611000001107,VMP,ml
36068911000001101,Flupentixol 40mg/2ml solution for injection ampoules,36068911000001101,VMP,ml
33643311000001101,Flupentixol 40mg/2ml solution for injection ampoules,33643311000001101,AMP,ml
36058011000001108,Flupentixol 50mg/0.5ml solution for injection ampoules,36058011000001108,VMP,ml
33643511000001107,Flupentixol 50mg/0.5ml solution for injection ampoules,33643511000001107,AMP,ml
36068711000001103,Flupentixol 200mg/1ml solution for injection ampoules,36068711000001103,VMP,ml
3102911000001100,Depixol 20mg/1ml solution for injection ampoules,3102911000001100,AMP,ml
3102111000001103,Depixol 40mg/2ml solution for injection ampoules,3102111000001103,AMP,ml
3101311000001105,Depixol Conc 100mg/1ml solution for injection ampoules,3101311000001105,AMP,ml
3100711000001101,Depixol Conc 50mg/0.5ml solution for injection ampoules,3100711000001101,AMP,ml
3104011000001105,Depixol Low Volume 200mg/1ml solution for injection ampoules,3104011000001105,AMP,ml
9488311000001103,Psytixol 20mg/1ml solution for injection ampoules,9488311000001103,AMP,ml
9489211000001101,Psytixol 40mg/2ml solution for injection ampoules,9489211000001101,AMP,ml
9490711000001100,Psytixol 50mg/0.5ml solution for injection ampoules,9490711000001100,AMP,ml
9494211000001104,Psytixol 100mg/1ml solution for injection ampoules,9494211000001104,AMP,ml
9494511000001101,Psytixol 200mg/1ml solution for injection ampoules,9494511000001101,AMP,ml
36058211000001103,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules,36058211000001103,VMP,ml
588611000001108,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules,588611000001108,AMP,ml
36058611000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules,36058611000001101,VMP,ml
4744611000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules,4744611000001101,AMP,ml
688411000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules,688411000001101,AMP,ml
36058411000001104,Fluphenazine decanoate 25mg/1ml solution for injection ampoules,36058411000001104,VMP,ml
214011000001101,Fluphenazine decanoate 25mg/1ml solution for injection ampoules,214011000001101,AMP,ml
527111000001107,Fluphenazine decanoate 25mg/1ml solution for injection ampoules,527111000001107,AMP,ml
356411000001100,Fluphenazine decanoate 25mg/1ml solution for injection ampoules,356411000001100,AMP,ml
36058711000001105,Fluphenazine decanoate 50mg/2ml solution for injection ampoules,36058711000001105,VMP,ml
36058311000001106,Fluphenazine decanoate 250mg/10ml solution for injection vials,36058311000001106,VMP,ml
36058111000001109,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,36058111000001109,VMP,ml
58111000001107,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,58111000001107,AMP,ml
933411000001103,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,933411000001103,AMP,ml
461511000001107,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,461511000001107,AMP,ml
36058511000001100,Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes,36058511000001100,VMP,ml
36058811000001102,Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes,36058811000001102,VMP,ml
790311000001100,Modecate 12.5mg/0.5ml solution for injection ampoules,790311000001100,AMP,ml
556111000001108,Modecate 25mg/1ml solution for injection ampoules,556111000001108,AMP,ml
119311000001100,Modecate 50mg/2ml solution for injection ampoules,119311000001100,AMP,ml
928411000001107,Modecate 250mg/10ml solution for injection vials,928411000001107,AMP,ml
66211000001107,Modecate 25mg/1ml solution for injection pre-filled syringes,66211000001107,AMP,ml
153511000001100,Modecate 50mg/2ml solution for injection pre-filled syringes,153511000001100,AMP,ml
837811000001102,Modecate Concentrate 50mg/0.5ml solution for injection ampoules,837811000001102,AMP,ml
565211000001101,Modecate Concentrate 100mg/1ml solution for injection ampoules,565211000001101,AMP,ml
36053711000001104,Haloperidol decanoate 50mg/1ml solution for injection ampoules,36053711000001104,VMP,ml
36053611000001108,Haloperidol decanoate 100mg/1ml solution for injection ampoules,36053611000001108,VMP,ml
3747311000001104,Haldol Decanoate 50mg/1ml solution for injection ampoules,3747311000001104,AMP,ml
3748011000001101,Haldol Decanoate 100mg/1ml solution for injection ampoules,3748011000001101,AMP,ml
3822011000001103,Piportil Depot 50mg/1ml solution for injection ampoules,3822011000001103,AMP,ml
8823211000001101,Piportil Depot 100mg/2ml solution for injection ampoules,8823211000001101,AMP,ml
36152111000001102,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules,36152111000001102,VMP,ml
36152211000001108,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules,36152211000001108,VMP,ml
178611000001106,Clopixol 200mg/1ml solution for injection ampoules,178611000001106,AMP,ml
32911000001106,Clopixol Conc 500mg/1ml solution for injection ampoules,32911000001106,AMP,ml
321658001,VMP previous to 36058011000001108,321658001,VMP,ml
321662007,VMP previous to 36068711000001103,321662007,VMP,ml
321663002,VMP previous to 36068811000001106,321663002,VMP,ml
321664008,VMP previous to 36068911000001101,321664008,VMP,ml
321666005,VMP previous to 36068611000001107,321666005,VMP,ml
321678009,VMP previous to 36058611000001101,321678009,VMP,ml
321682006,VMP previous to 36058111000001109,321682006,VMP,ml
321683001,VMP previous to 36058511000001100,321683001,VMP,ml
321684007,VMP previous to 36058811000001102,321684007,VMP,ml
321685008,VMP previous to 36058211000001103,321685008,VMP,ml
321686009,VMP previous to 36058411000001104,321686009,VMP,ml
321687000,VMP previous to 36058711000001105,321687000,VMP,ml
321688005,VMP previous to 36058311000001106,321688005,VMP,ml
321700008,VMP previous to 36053711000001104,321700008,VMP,ml
321701007,VMP previous to 36053611000001108,321701007,VMP,ml
321713002,VMP previous to 36152111000001102,321713002,VMP,ml
321718006,VMP previous to 36152211000001108,321718006,VMP,ml
